ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1780189913.5472019,93,72,9746.16015625,179.138,66
1780189915.5600095,91,73,9746.16015625,183.539,68
1780189917.5724385,93,75,9746.16015625,178.133,69
1780189919.583654,69,49,9746.16015625,177.902,68
1780189921.5918295,29,8,9746.16015625,178.907,65
1780189923.6040401,92,74,9746.16015625,189.5,68
1780189925.613646,84,69,9746.16015625,189.161,68
1780189927.6320698,46,19,9746.16015625,181.357,65
1780189929.6420789,89,70,9746.16015625,171.505,68
1780189931.6544268,91,74,9746.16015625,169.926,68
1780189933.6557317,52,35,9746.16015625,178.385,67
1780189935.6693149,40,28,9746.16015625,179.336,64
1780189937.6702454,90,78,9746.16015625,181.231,67
1780189939.6818247,51,26,9746.16015625,182.204,65
1780189941.6832542,87,69,9746.16015625,186.942,69
1780189943.6874266,88,71,9746.16015625,188.801,68
1780189945.7106938,82,63,9746.16015625,179.185,69
1780189947.713883,43,15,9746.16015625,179.628,65
1780189949.7250743,49,34,9746.16015625,172.056,63
1780189951.736724,87,72,9746.16015625,173.914,68
1780189953.7372205,55,40,9746.16015625,184.121,63
1780189955.7518373,97,79,9746.16015625,183.196,69
1780189957.7646067,74,60,9746.16015625,184.281,66
1780189959.773711,35,12,9746.16015625,181.915,65
1780189961.7822747,74,58,9746.16015625,185.791,65
1780189963.7969146,56,32,9746.16015625,183.52,66
1780189965.8093684,73,51,9746.16015625,185.938,69
1780189967.8209581,97,79,9746.16015625,188.197,69
1780189969.8339736,86,67,9746.16015625,190.855,67
1780189971.8468957,91,75,9746.16015625,190.694,69
1780189973.8612382,77,61,9746.16015625,191.327,66
1780189975.875459,66,44,9746.16015625,186.804,64
1780189977.8906786,45,19,9746.16015625,182.357,65
1780189979.9042683,59,35,9746.16015625,184.793,67
1780189981.9180837,68,46,9746.16015625,188.668,70
1780189983.9340117,82,63,9746.16015625,189.713,70
1780189985.9399238,97,79,9746.16015625,190.324,69
1780189987.9548545,86,66,9746.16015625,191.325,67
1780189989.9636393,81,65,9746.16015625,186.89,68
1780189991.9736578,73,54,9746.16015625,188.629,65
1780189993.9859374,97,81,9746.16015625,180.031,68
1780189995.9982727,53,31,9746.16015625,181.632,65
1780189998.0083158,92,71,9746.16015625,183.016,66
1780190000.0181432,35,11,9746.16015625,179.203,65
1780190002.030824,80,60,9746.16015625,184.638,64
1780190004.0429494,55,45,5022.16015625,163.431,66
1780190006.056629,98,85,5022.16015625,186.211,64
1780190008.0603037,100,88,5022.16015625,193.904,65
1780190010.0635746,90,69,5022.16015625,201.903,67
1780190012.0686603,82,60,5022.16015625,198.176,68
1780190014.083745,88,66,8574.16015625,93.915,67
1780190016.098332,40,20,8908.16015625,181.134,67
1780190018.1114013,63,48,8908.16015625,180.559,68
1780190020.1218386,80,65,8908.16015625,178.634,69
1780190022.1338425,84,69,8908.16015625,170.999,69
1780190024.1467671,79,60,9284.16015625,183.494,64
1780190026.160165,62,49,9284.16015625,186.374,68
1780190028.1742492,84,65,9284.16015625,188.5,64
1780190030.1749256,90,68,9284.16015625,187.993,69
1780190032.1858404,92,76,9766.16015625,178.395,65
1780190034.1908517,80,61,9766.16015625,179.96,64
1780190036.2018824,49,31,9766.16015625,182.528,66
1780190038.214346,78,66,9766.16015625,174.671,69
1780190040.2247677,50,26,9766.16015625,182.001,68
1780190042.2335165,78,59,9766.16015625,183.043,64
1780190044.2584457,89,73,9766.16015625,184.108,69
1780190046.2616873,57,37,9766.16015625,178.384,64
1780190048.272817,41,19,9766.16015625,175.806,68
1780190050.285525,90,73,9766.16015625,182.368,65
1780190052.300918,92,76,9766.16015625,176.614,68
1780190054.3153377,69,49,9766.16015625,186.367,68
1780190056.3155282,92,76,9766.16015625,181.099,65
1780190058.3306143,68,46,9766.16015625,185.843,68
1780190060.3447206,48,27,9766.16015625,182.266,67
1780190062.3561115,93,75,9766.16015625,182.487,65
